"","a1","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"1","WY2",0.0538727793349959,0.685482801960369,0.685482801960369,0.685482801960369,0.0538727793349959,-0.043661308392257,-0.043661308392257,0.0538727793349959,-0.043661308392257,0.0538727793349959,0.587948714233116,0.0538727793349959,0.685482801960369,-0.043661308392257,-0.043661308392257,-0.043661308392257,0.0538727793349959,0.685482801960369,0.685482801960369,0.0538727793349959,-0.043661308392257,0.0538727793349959,0.0538727793349959,-0.043661308392257,-0.043661308392257,0.685482801960369,0.0538727793349959,0.587948714233116,0.0538727793349959,0.0538727793349959
"2","WY4",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"3","MI3",0.160989739244997,0.702758110168447,0.250795455460447,0.625381729999117,0.950868838017158,0.805170010644704,1.00702148223907,0.151787684532888,0.238366119414326,0.641365080718696,0.628935744672575,0.704402343222437,0.917119789784744,0.625381729999117,1.01425257055774,0.706860919008088,0.731815567339205,0.717966104663386,0.581985155162772,0.594414491208893,0.144361618120359,0.651637258699523,0.643823656504346,0.592770258154903,0.637811066045239,0.731815567339205,0.684053752449883,0.637811066045239,0.160989739244997,0.59796850588235
"4","MI4",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"5","MI5",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"6","MT1",0.0944970824139664,0.618146381581484,0.592180965023896,0.626493158817218,0.69479158333601,0.188760923490347,0.060184888620644,0.626493158817218,0.729103777129332,0.0861503051782331,0.626493158817218,0.600527742259629,0.729103777129332,0.592180965023896,0.592180965023896,0.647708448892606,0.626493158817218,0.69479158333601,0.162795506932758,0.19710770072608,0.647708448892606,0.188760923490347,0.171142284168491,0.600527742259629,0.69479158333601,0.188760923490347,0.0861503051782331,0.592180965023896,0.626493158817218,0.107365595253621
"7","MT2",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"8","MT3",-0.10848155260741,-0.10848155260741,-0.10848155260741,-0.10848155260741,0.116293454503768,-0.10848155260741,0.116293454503768,-0.10848155260741,0.0974712952773576,-0.10848155260741,-0.127303711833821,-0.10848155260741,-0.10848155260741,0.116293454503768,0.0974712952773576,0.116293454503768,0.116293454503768,-0.10848155260741,-0.127303711833821,-0.127303711833821,-0.10848155260741,0.116293454503768,0.0974712952773576,0.116293454503768,0.116293454503768,-0.10848155260741,-0.10848155260741,-0.10848155260741,0.116293454503768,0.116293454503768
"9","MT4",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"10","VA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","BC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
